Date,Timestamp ,Value
18-May,20200518480,25363
18-May,20200518479,25344
18-May,20200518478,25347
18-May,20200518477,25356
18-May,20200518476,25342
18-May,20200518475,25339
18-May,20200518474,25355
18-May,20200518473,25369
18-May,20200518472,25364
18-May,20200518471,25375
18-May,20200518470,25379
18-May,20200518469,25380
18-May,20200518468,25384
18-May,20200518467,25382
18-May,20200518466,25372
18-May,20200518465,25373
18-May,20200518464,25360
18-May,20200518463,25361
18-May,20200518462,25355
18-May,20200518461,25342
18-May,20200518460,25341
18-May,20200518459,25329
18-May,20200518458,25348
18-May,20200518457,25349
18-May,20200518456,25354
18-May,20200518455,25356
18-May,20200518454,25368
18-May,20200518453,25365
18-May,20200518452,25361
18-May,20200518451,25340
19-May,20200519480,25819
19-May,20200519479,25806
19-May,20200519478,25819
19-May,20200519477,25810
19-May,20200519476,25811
19-May,20200519475,25819
19-May,20200519474,25808
19-May,20200519473,25805
19-May,20200519472,25816
19-May,20200519471,25807
19-May,20200519470,25796
19-May,20200519469,25807
19-May,20200519468,25806
19-May,20200519467,25800
19-May,20200519466,25798
19-May,20200519465,25790
19-May,20200519464,25780
19-May,20200519463,25775
19-May,20200519462,25778
19-May,20200519461,25760
19-May,20200519460,25753
19-May,20200519459,25757
19-May,20200519458,25761
19-May,20200519457,25762
19-May,20200519456,25770
19-May,20200519455,25773
19-May,20200519454,25775
19-May,20200519453,25774
19-May,20200519452,25760
19-May,20200519451,25779
19-May,20200519450,25788
19-May,20200519449,25782
19-May,20200519448,25767
19-May,20200519447,25767
19-May,20200519446,25776
19-May,20200519445,25773
19-May,20200519444,25761
19-May,20200519443,25757
19-May,20200519442,25750
19-May,20200519441,25758
19-May,20200519440,25742
19-May,20200519439,25745
19-May,20200519438,25725
19-May,20200519437,25736
19-May,20200519436,25749
19-May,20200519435,25740
19-May,20200519434,25734
19-May,20200519433,25727
19-May,20200519432,25744
19-May,20200519431,25735
19-May,20200519430,25730
19-May,20200519429,25744
19-May,20200519428,25747
19-May,20200519427,25733
19-May,20200519426,25711
19-May,20200519425,25705
19-May,20200519424,25714
19-May,20200519423,25717
19-May,20200519422,25715
19-May,20200519421,25701
19-May,20200519420,25716
19-May,20200519419,25710
19-May,20200519418,25722
19-May,20200519417,25723
19-May,20200519416,25717
19-May,20200519415,25729
19-May,20200519414,25732
19-May,20200519413,25721
19-May,20200519412,25703
19-May,20200519411,25703
19-May,20200519410,25699
